client_id,rm_id,desk,first_name,age,city_tier,segment,wealth_source,risk_profile,preferred_language,relationship_tenure_years,days_since_last_contact,total_aum_inr,alloc_direct_equity_pct,alloc_equity_mf_pct,alloc_debt_mf_bonds_pct,alloc_pms_pct,alloc_aif_pct,alloc_unlisted_pct,alloc_gold_pct,top_sector_exposure,debt_duration_bucket,unlisted_holding_tag,intl_equity_exposure_pct,existing_thematic_exposure_pct,sip_active,sip_monthly_inr,avg_lumpsum_ticket_inr,days_since_last_lumpsum,ledger_balance_inr
C-0001,RM-01,UHNI,Siddharth,42,Tier 2,UHNI,Business Owner,Moderate,Gujarati,2,121,212800000,21.7,20.8,21.9,15.3,15.4,0.0,4.9,BFSI,Short,No holding,0.0,12.2,False,0,10800000,253,2600000
C-0002,RM-01,UHNI,Rohan,47,Tier 1,UHNI,Promoter,Conservative,English,17,375,101600000,12.1,35.3,37.8,5.2,0.0,0.0,9.6,Diversified,Long,No holding,0.0,10.3,False,0,3600000,314,600000
C-0003,RM-01,UHNI,Gaurav,33,Tier 2,UHNI,Inherited,Conservative,Gujarati,18,176,272000000,24.0,30.2,31.3,5.0,0.0,0.0,9.5,Infra,Medium,No holding,0.0,13.9,False,0,11800000,150,2500000
C-0004,RM-01,UHNI,Shalini,32,Tier 2,UHNI,Promoter,Aggressive,English,4,97,302000000,17.8,25.3,13.1,15.8,6.1,18.1,3.8,Auto,Medium,Unlisted Co. A,0.0,0.0,False,0,17000000,59,3800000
C-0005,RM-01,UHNI,Devika,56,Tier 2,HNI,Business Owner,Moderate,English,8,394,61600000,27.0,26.0,19.0,12.3,0.0,11.6,4.1,Diversified,Long,Unlisted Co. A,0.0,7.8,False,0,5300000,165,100000
C-0006,RM-01,UHNI,Harsh,39,Tier 1,HNI,Professional,Moderate,Hindi,12,180,87900000,26.9,21.4,23.6,14.1,0.0,11.1,2.9,BFSI,Long,Unlisted Co. E,0.0,8.2,True,75000,4600000,87,400000
C-0007,RM-01,UHNI,Sneha,44,Tier 1,UHNI,Inherited,Aggressive,Marathi,4,394,193100000,21.4,31.4,12.7,21.3,10.6,0.0,2.6,Auto,Short,No holding,0.0,0.0,False,0,14700000,160,100000
C-0008,RM-01,UHNI,Vinod,36,Tier 1,UHNI,Business Owner,Moderate,English,6,367,151300000,14.0,38.8,26.3,17.1,0.0,0.0,3.8,Pharma,Medium,No holding,0.0,0.0,False,0,9400000,265,200000
C-0009,RM-01,UHNI,Jaya,35,Tier 1,UHNI,Business Owner,Moderate,Hindi,8,362,178300000,16.2,26.3,21.9,30.8,0.0,0.0,4.8,FMCG,Medium,No holding,7.9,0.0,False,0,7300000,52,200000
C-0010,RM-01,UHNI,Vidya,46,Tier 1,UHNI,Business Owner,Moderate,English,12,233,112600000,16.2,16.0,18.3,33.4,0.0,0.0,16.1,IT,Medium,No holding,0.0,15.0,False,0,5500000,315,300000
C-0011,RM-01,UHNI,Varun,41,Tier 1,UHNI,Promoter,Moderate,Hindi,6,319,292000000,10.2,44.2,16.7,20.8,5.0,0.0,3.1,Infra,Short,No holding,0.0,0.0,False,0,20200000,98,1500000
C-0012,RM-01,UHNI,Shreya,51,Tier 1,UHNI,Inherited,Conservative,Hindi,8,384,276100000,8.0,25.9,50.0,7.6,0.0,0.0,8.5,BFSI,Short,No holding,0.0,0.0,True,595000,19400000,376,900000
